Topic,count,ScienceT,year,citations
Robotics,22,Photographic Technology,2012,25006
Pattern Recognition,20,Photographic Technology,2012,18616
UAM,19,Photographic Technology,2012,3412
Regression,18,Photographic Technology,2012,14437
Pose Estimation,16,Photographic Technology,2012,3101
Clustering,12,Photographic Technology,2012,9727
Trees,12,Photographic Technology,2012,6598
Dimensionality Reduction,10,Photographic Technology,2012,3900
Robots,9,Photographic Technology,2012,34344
Supervised Learning,8,Photographic Technology,2012,4402
Gesture Recognition,7,Photographic Technology,2012,1016
Multi-layer perceptron,7,Photographic Technology,2012,2177
High Performance Computing,6,Photographic Technology,2012,3219
Face Detection,6,Photographic Technology,2012,1267
Unsupervised Learning,4,Photographic Technology,2012,1790
Data Mining,4,Photographic Technology,2012,10482
Mobile Robots,4,Photographic Technology,2012,3894
Convolutional Networks,3,Photographic Technology,2012,527
Genetic Algorithm,3,Photographic Technology,2012,3463
GPU,3,Photographic Technology,2012,664
Dynamic Programming,3,Photographic Technology,2012,377
Clouds,3,Photographic Technology,2012,7028
Markov,3,Photographic Technology,2012,1557
Expert System,3,Photographic Technology,2012,1929
Back-propagation,2,Photographic Technology,2012,2492
Nearest Neighbors,2,Photographic Technology,2012,702
Information Retrieval,2,Photographic Technology,2012,4982
Supercomputers,2,Photographic Technology,2012,1188
Data Center,2,Photographic Technology,2012,2468
Image Recognition,2,Photographic Technology,2012,346
UGV,2,Photographic Technology,2012,732
Bayesian Inference,2,Photographic Technology,2012,1482
Boltzmann Machine,1,Photographic Technology,2012,66
Search Algorithm,1,Photographic Technology,2012,1092
Humanoid Robots,1,Photographic Technology,2012,2432
Statistical Learning,1,Photographic Technology,2012,784
Data Storage,1,Photographic Technology,2012,736
Big Data,1,Photographic Technology,2012,2884
Optimization Algorithm,1,Photographic Technology,2012,303
Transfer Learning,1,Photographic Technology,2012,275
Multiprocessing,1,Photographic Technology,2012,15
AWS,1,Photographic Technology,2012,65
Boosting,1,Photographic Technology,2012,285
Hardware Acceleration,1,Photographic Technology,2012,320
Unmanned Vehicle,1,Photographic Technology,2012,266
Classification,11,Biophysics,2012,45939
Pattern Recognition,8,Biophysics,2012,18616
Machine Learning,7,Biophysics,2012,20752
Robots,5,Biophysics,2012,34344
Feature Extraction,4,Biophysics,2012,11670
Regression,3,Biophysics,2012,14437
Database,3,Biophysics,2012,10246
Robotics,3,Biophysics,2012,25006
Image Segmentation,2,Biophysics,2012,7167
Dimensionality Reduction,2,Biophysics,2012,3900
Pose Estimation,2,Biophysics,2012,3101
Data Mining,2,Biophysics,2012,10482
SVM,1,Biophysics,2012,12538
3D Print,1,Biophysics,2012,1397
Multi-layer perceptron,1,Biophysics,2012,2177
AI,1,Biophysics,2012,55028
High Performance Computing,1,Biophysics,2012,3219
Cyber Infrastructure,1,Biophysics,2012,212
Machine Learning,29,Applied Microbiology,2012,20752
Classification,19,Applied Microbiology,2012,45939
Database,15,Applied Microbiology,2012,10246
SVM,13,Applied Microbiology,2012,12538
Data Mining,8,Applied Microbiology,2012,10482
Regression,8,Applied Microbiology,2012,14437
Clustering,7,Applied Microbiology,2012,9727
Pattern Recognition,7,Applied Microbiology,2012,18616
Trees,6,Applied Microbiology,2012,6598
Feature Extraction,6,Applied Microbiology,2012,11670
BD & Cloud Solutions,5,Applied Microbiology,2012,1386
Clouds,5,Applied Microbiology,2012,7028
Robotics,4,Applied Microbiology,2012,25006
Information Retrieval,4,Applied Microbiology,2012,4982
Robots,3,Applied Microbiology,2012,34344
Big Data,3,Applied Microbiology,2012,2884
NLP,3,Applied Microbiology,2012,1322
Supercomputers,3,Applied Microbiology,2012,1188
Distributed Computing,2,Applied Microbiology,2012,882
Dynamic Programming,2,Applied Microbiology,2012,377
RDBMS & SQL,2,Applied Microbiology,2012,302
Monte Carlo,1,Applied Microbiology,2012,2255
Back-propagation,1,Applied Microbiology,2012,2492
Data Storage,1,Applied Microbiology,2012,736
Distributed File System,1,Applied Microbiology,2012,87
Object Recognition,1,Applied Microbiology,2012,17317
Expert System,1,Applied Microbiology,2012,1929
Image Classification,1,Applied Microbiology,2012,5684
Image Segmentation,1,Applied Microbiology,2012,7167
3D Print,1,Applied Microbiology,2012,1397
Markov,1,Applied Microbiology,2012,1557
Genetic Algorithm,1,Applied Microbiology,2012,3463
Statistical Learning,1,Applied Microbiology,2012,784
Boosting,1,Applied Microbiology,2012,285
Knowledge Representation,1,Applied Microbiology,2012,1860
Unsupervised Learning,1,Applied Microbiology,2012,1790
Entity Recognition,1,Applied Microbiology,2012,127
Dimensionality Reduction,1,Applied Microbiology,2012,3900
Computer Vision,1,Applied Microbiology,2012,15927
Deep Learning,1,Applied Microbiology,2012,1893
Classification,2,Forestry,2012,45939
Database,1,Forestry,2012,10246
Pattern Recognition,1,Forestry,2012,18616
Pattern Recognition,21,Plant Sciences,2012,18616
Data Mining,9,Plant Sciences,2012,10482
Classification,8,Plant Sciences,2012,45939
Database,5,Plant Sciences,2012,10246
Machine Learning,4,Plant Sciences,2012,20752
Dimensionality Reduction,3,Plant Sciences,2012,3900
Robots,2,Plant Sciences,2012,34344
Trees,2,Plant Sciences,2012,6598
Clustering,2,Plant Sciences,2012,9727
Image Segmentation,2,Plant Sciences,2012,7167
Robotics,1,Plant Sciences,2012,25006
Unsupervised Learning,1,Plant Sciences,2012,1790
Information Retrieval,1,Plant Sciences,2012,4982
Data Storage,1,Plant Sciences,2012,736
Regression,1,Plant Sciences,2012,14437
Supervised Learning,1,Plant Sciences,2012,4402
Statistical Learning,1,Plant Sciences,2012,784
BD & Cloud Solutions,1,Plant Sciences,2012,1386
RDBMS & SQL,1,Plant Sciences,2012,302
Big Data,1,Plant Sciences,2012,2884
AI,3010,Computer Science,2012,55028
Robots,1218,Computer Science,2012,34344
Classification,949,Computer Science,2012,45939
Robotics,676,Computer Science,2012,25006
Clouds,584,Computer Science,2012,7028
Machine Learning,558,Computer Science,2012,20752
Data Mining,420,Computer Science,2012,10482
SVM,356,Computer Science,2012,12538
Database,302,Computer Science,2012,10246
Computer Vision,301,Computer Science,2012,15927
Clustering,292,Computer Science,2012,9727
Pattern Recognition,283,Computer Science,2012,18616
Feature Extraction,276,Computer Science,2012,11670
Information Retrieval,272,Computer Science,2012,4982
Object Recognition,256,Computer Science,2012,17317
Regression,211,Computer Science,2012,14437
Mobile Robots,206,Computer Science,2012,3894
Image Segmentation,183,Computer Science,2012,7167
High Performance Computing,169,Computer Science,2012,3219
Voice Recognition,158,Computer Science,2012,5950
Genetic Algorithm,155,Computer Science,2012,3463
Data Center,151,Computer Science,2012,2468
Knowledge Representation,148,Computer Science,2012,1860
Reinforcement Learning,136,Computer Science,2012,3329
Multi-layer perceptron,121,Computer Science,2012,2177
Manipulator,117,Computer Science,2012,5008
Supervised Learning,115,Computer Science,2012,4402
Expert System,112,Computer Science,2012,1929
NLP,112,Computer Science,2012,1322
Supercomputers,97,Computer Science,2012,1188
Humanoid Robots,82,Computer Science,2012,2432
BD & Cloud Solutions,81,Computer Science,2012,1386
Big Data,78,Computer Science,2012,2884
Trees,77,Computer Science,2012,6598
Pose Estimation,74,Computer Science,2012,3101
UAM,73,Computer Science,2012,3412
RNN,65,Computer Science,2012,1309
Image Classification,65,Computer Science,2012,5684
Gesture Recognition,63,Computer Science,2012,1016
Markov,61,Computer Science,2012,1557
Dimensionality Reduction,61,Computer Science,2012,3900
Distributed Computing,59,Computer Science,2012,882
Language Modeling,58,Computer Science,2012,593
Unsupervised Learning,55,Computer Science,2012,1790
Back-propagation,53,Computer Science,2012,2492
IaaS,47,Computer Science,2012,456
Hardware Acceleration,47,Computer Science,2012,320
Sentiment Analysis,47,Computer Science,2012,867
Quantum Computing,45,Computer Science,2012,13125
Search Algorithm,45,Computer Science,2012,1092
Grid Computing,44,Computer Science,2012,1069
Monte Carlo,36,Computer Science,2012,2255
Semi Supervised Learning,36,Computer Science,2012,1121
Machine Translation,35,Computer Science,2012,964
Face Detection,35,Computer Science,2012,1267
GPU,34,Computer Science,2012,664
SaaS,34,Computer Science,2012,188
Dynamic Programming,33,Computer Science,2012,377
Semantic Search,29,Computer Science,2012,247
RDBMS & SQL,27,Computer Science,2012,302
Statistical Learning,27,Computer Science,2012,784
Nearest Neighbors,24,Computer Science,2012,702
Parallel Processing,23,Computer Science,2012,412
Deep Learning,22,Computer Science,2012,1893
UGV,22,Computer Science,2012,732
Convolutional Networks,22,Computer Science,2012,527
Text Classification,22,Computer Science,2012,423
Automated Reasoning,21,Computer Science,2012,255
AUV,20,Computer Science,2012,734
Meta Learning,19,Computer Science,2012,284
Data Storage,19,Computer Science,2012,736
Transfer Learning,15,Computer Science,2012,275
PaaS,14,Computer Science,2012,158
Image Recognition,12,Computer Science,2012,346
Optimization Algorithm,11,Computer Science,2012,303
3D Print,11,Computer Science,2012,1397
Transformers & Attention,10,Computer Science,2012,759
Boosting,10,Computer Science,2012,285
Entity Recognition,10,Computer Science,2012,127
Kernel Machine,9,Computer Science,2012,977
Loss Function,8,Computer Science,2012,109
Bayesian Inference,7,Computer Science,2012,1482
Loss Functions,6,Computer Science,2012,32
Cyber Infrastructure,6,Computer Science,2012,212
AWS,5,Computer Science,2012,65
NRDBMS & NoSQL,5,Computer Science,2012,30
Unmanned Vehicle,5,Computer Science,2012,266
Data Intensive Computing,5,Computer Science,2012,91
Cluster Computing,4,Computer Science,2012,23
Ensemble Modeling,4,Computer Science,2012,16
Audio Classification,4,Computer Science,2012,91
Dynamic Cloud,4,Computer Science,2012,69
Feature Engineering,3,Computer Science,2012,69
Distributed File System,3,Computer Science,2012,87
Multi Processing,2,Computer Science,2012,5
Multiprocessing,2,Computer Science,2012,15
Auto Encoder,2,Computer Science,2012,27
Boltzmann Machine,2,Computer Science,2012,66
Topic Modeling,2,Computer Science,2012,83
Self Supervised Learning,2,Computer Science,2012,53
Chatbot,2,Computer Science,2012,0
Industry 4 0,1,Computer Science,2012,5
Autoencoder,1,Computer Science,2012,8
Bayesian Machine Learning,1,Computer Science,2012,14
Optical Computing,1,Computer Science,2012,208
Classification,140,Remote Sensing,2012,45939
SVM,61,Remote Sensing,2012,12538
Image Classification,59,Remote Sensing,2012,5684
Feature Extraction,42,Remote Sensing,2012,11670
Trees,32,Remote Sensing,2012,6598
Image Segmentation,32,Remote Sensing,2012,7167
UAM,29,Remote Sensing,2012,3412
Robotics,28,Remote Sensing,2012,25006
Object Recognition,22,Remote Sensing,2012,17317
Regression,20,Remote Sensing,2012,14437
Robots,19,Remote Sensing,2012,34344
Computer Vision,14,Remote Sensing,2012,15927
Machine Learning,13,Remote Sensing,2012,20752
Clustering,10,Remote Sensing,2012,9727
Humanoid Robots,9,Remote Sensing,2012,2432
Data Mining,8,Remote Sensing,2012,10482
High Performance Computing,8,Remote Sensing,2012,3219
Database,7,Remote Sensing,2012,10246
Genetic Algorithm,7,Remote Sensing,2012,3463
Pattern Recognition,7,Remote Sensing,2012,18616
Mobile Robots,7,Remote Sensing,2012,3894
Dimensionality Reduction,7,Remote Sensing,2012,3900
Big Data,6,Remote Sensing,2012,2884
Data Center,5,Remote Sensing,2012,2468
AI,5,Remote Sensing,2012,55028
Pose Estimation,5,Remote Sensing,2012,3101
Multi-layer perceptron,5,Remote Sensing,2012,2177
Unsupervised Learning,4,Remote Sensing,2012,1790
GPU,4,Remote Sensing,2012,664
Data Storage,3,Remote Sensing,2012,736
AUV,3,Remote Sensing,2012,734
Information Retrieval,3,Remote Sensing,2012,4982
Supervised Learning,3,Remote Sensing,2012,4402
Expert System,3,Remote Sensing,2012,1929
Semi Supervised Learning,3,Remote Sensing,2012,1121
Transfer Learning,2,Remote Sensing,2012,275
Back-propagation,2,Remote Sensing,2012,2492
Hardware Acceleration,2,Remote Sensing,2012,320
Supercomputers,2,Remote Sensing,2012,1188
Nearest Neighbors,2,Remote Sensing,2012,702
Bayesian Inference,1,Remote Sensing,2012,1482
UGV,1,Remote Sensing,2012,732
Distributed File System,1,Remote Sensing,2012,87
Distributed Computing,1,Remote Sensing,2012,882
Markov,1,Remote Sensing,2012,1557
Gesture Recognition,1,Remote Sensing,2012,1016
Loss Functions,1,Remote Sensing,2012,32
Statistical Learning,1,Remote Sensing,2012,784
Boosting,1,Remote Sensing,2012,285
Clouds,1,Remote Sensing,2012,7028
Monte Carlo,1,Remote Sensing,2012,2255
Classification,21,Geophysics,2012,45939
SVM,14,Geophysics,2012,12538
Image Classification,12,Geophysics,2012,5684
Feature Extraction,7,Geophysics,2012,11670
Image Segmentation,6,Geophysics,2012,7167
Regression,6,Geophysics,2012,14437
Robotics,4,Geophysics,2012,25006
Clustering,4,Geophysics,2012,9727
Dimensionality Reduction,2,Geophysics,2012,3900
Database,2,Geophysics,2012,10246
Computer Vision,2,Geophysics,2012,15927
Bayesian Inference,1,Geophysics,2012,1482
Pattern Recognition,1,Geophysics,2012,18616
Expert System,1,Geophysics,2012,1929
Data Storage,1,Geophysics,2012,736
Trees,1,Geophysics,2012,6598
Machine Learning,1,Geophysics,2012,20752
Transfer Learning,1,Geophysics,2012,275
Data Center,1,Geophysics,2012,2468
Data Mining,1,Geophysics,2012,10482
Unsupervised Learning,1,Geophysics,2012,1790
Supervised Learning,1,Geophysics,2012,4402
Information Retrieval,1,Geophysics,2012,4982
Pattern Recognition,2,Evolutionary Biology,2012,18616
UAM,2,Evolutionary Biology,2012,3412
Machine Learning,1,Evolutionary Biology,2012,20752
Classification,1,Evolutionary Biology,2012,45939
Database,1,Evolutionary Biology,2012,10246
Clustering,1,Evolutionary Biology,2012,9727
Data Mining,1,Evolutionary Biology,2012,10482
Object Recognition,1,Evolutionary Biology,2012,17317
Clustering,1,Substance Abuse,2012,9727
Data Mining,1,Substance Abuse,2012,10482
Robots,2,Social Issues,2012,34344
Information Retrieval,1,Social Issues,2012,4982
Object Recognition,31,Psychology,2012,17317
Robots,18,Psychology,2012,34344
Robotics,16,Psychology,2012,25006
AI,15,Psychology,2012,55028
Reinforcement Learning,8,Psychology,2012,3329
Classification,6,Psychology,2012,45939
Pattern Recognition,5,Psychology,2012,18616
Statistical Learning,3,Psychology,2012,784
Data Mining,3,Psychology,2012,10482
Information Retrieval,3,Psychology,2012,4982
Machine Learning,3,Psychology,2012,20752
Multi-layer perceptron,2,Psychology,2012,2177
Knowledge Representation,2,Psychology,2012,1860
Semantic Search,2,Psychology,2012,247
Humanoid Robots,2,Psychology,2012,2432
Voice Recognition,2,Psychology,2012,5950
Mobile Robots,2,Psychology,2012,3894
UGV,1,Psychology,2012,732
Dimensionality Reduction,1,Psychology,2012,3900
Loss Function,1,Psychology,2012,109
Database,1,Psychology,2012,10246
Regression,1,Psychology,2012,14437
Back-propagation,1,Psychology,2012,2492
Boosting,1,Psychology,2012,285
Clustering,1,Psychology,2012,9727
Monte Carlo,1,Psychology,2012,2255
Pattern Recognition,8,Veterinary Sciences,2012,18616
Classification,4,Veterinary Sciences,2012,45939
UAM,4,Veterinary Sciences,2012,3412
Machine Learning,3,Veterinary Sciences,2012,20752
SVM,3,Veterinary Sciences,2012,12538
Trees,2,Veterinary Sciences,2012,6598
Data Mining,1,Veterinary Sciences,2012,10482
Clustering,1,Veterinary Sciences,2012,9727
Supervised Learning,1,Veterinary Sciences,2012,4402
Markov,1,Veterinary Sciences,2012,1557
Clouds,1,Veterinary Sciences,2012,7028
AI,1,Veterinary Sciences,2012,55028
Object Recognition,1,Veterinary Sciences,2012,17317
Database,1,Veterinary Sciences,2012,10246
Robots,1,Veterinary Sciences,2012,34344
Robots,3,Cardiology,2012,34344
Regression,2,Cardiology,2012,14437
Robotics,2,Cardiology,2012,25006
Machine Learning,2,Cardiology,2012,20752
Database,2,Cardiology,2012,10246
Classification,1,Cardiology,2012,45939
Manipulator,1,Cardiology,2012,5008
Data Mining,1,Cardiology,2012,10482
Dimensionality Reduction,1,Cardiology,2012,3900
Image Segmentation,1,Cardiology,2012,7167
Machine Learning,29,Microbiology,2012,20752
Classification,19,Microbiology,2012,45939
Database,15,Microbiology,2012,10246
SVM,13,Microbiology,2012,12538
Pattern Recognition,9,Microbiology,2012,18616
Data Mining,8,Microbiology,2012,10482
Regression,8,Microbiology,2012,14437
Clustering,7,Microbiology,2012,9727
Trees,6,Microbiology,2012,6598
Feature Extraction,6,Microbiology,2012,11670
BD & Cloud Solutions,5,Microbiology,2012,1386
Clouds,5,Microbiology,2012,7028
Robotics,4,Microbiology,2012,25006
Information Retrieval,4,Microbiology,2012,4982
Robots,3,Microbiology,2012,34344
Big Data,3,Microbiology,2012,2884
NLP,3,Microbiology,2012,1322
Supercomputers,3,Microbiology,2012,1188
Distributed Computing,2,Microbiology,2012,882
Dynamic Programming,2,Microbiology,2012,377
RDBMS & SQL,2,Microbiology,2012,302
Monte Carlo,1,Microbiology,2012,2255
Back-propagation,1,Microbiology,2012,2492
Data Storage,1,Microbiology,2012,736
Distributed File System,1,Microbiology,2012,87
Object Recognition,1,Microbiology,2012,17317
Expert System,1,Microbiology,2012,1929
Image Classification,1,Microbiology,2012,5684
Image Segmentation,1,Microbiology,2012,7167
3D Print,1,Microbiology,2012,1397
Markov,1,Microbiology,2012,1557
Genetic Algorithm,1,Microbiology,2012,3463
Statistical Learning,1,Microbiology,2012,784
Boosting,1,Microbiology,2012,285
Knowledge Representation,1,Microbiology,2012,1860
Unsupervised Learning,1,Microbiology,2012,1790
Entity Recognition,1,Microbiology,2012,127
Dimensionality Reduction,1,Microbiology,2012,3900
Computer Vision,1,Microbiology,2012,15927
Deep Learning,1,Microbiology,2012,1893
AI,52,Transportation,2012,55028
Classification,15,Transportation,2012,45939
Robots,13,Transportation,2012,34344
Object Recognition,11,Transportation,2012,17317
Robotics,11,Transportation,2012,25006
UGV,9,Transportation,2012,732
Mobile Robots,9,Transportation,2012,3894
Machine Learning,7,Transportation,2012,20752
Computer Vision,7,Transportation,2012,15927
Data Mining,6,Transportation,2012,10482
Database,5,Transportation,2012,10246
Pose Estimation,5,Transportation,2012,3101
Pattern Recognition,4,Transportation,2012,18616
Feature Extraction,4,Transportation,2012,11670
Genetic Algorithm,3,Transportation,2012,3463
Clouds,3,Transportation,2012,7028
Regression,3,Transportation,2012,14437
Clustering,2,Transportation,2012,9727
Unmanned Vehicle,2,Transportation,2012,266
Markov,2,Transportation,2012,1557
Trees,2,Transportation,2012,6598
Supervised Learning,1,Transportation,2012,4402
RNN,1,Transportation,2012,1309
Reinforcement Learning,1,Transportation,2012,3329
Language Modeling,1,Transportation,2012,593
Knowledge Representation,1,Transportation,2012,1860
Boosting,1,Transportation,2012,285
Dimensionality Reduction,1,Transportation,2012,3900
SVM,1,Transportation,2012,12538
Image Classification,1,Transportation,2012,5684
Transformers & Attention,1,Transportation,2012,759
High Performance Computing,1,Transportation,2012,3219
GPU,1,Transportation,2012,664
Manipulator,1,Transportation,2012,5008
Image Segmentation,1,Gastroenterology,2012,7167
Robotics,1,Gastroenterology,2012,25006
Classification,1,Gastroenterology,2012,45939
Machine Learning,1,Gastroenterology,2012,20752
SVM,1,Gastroenterology,2012,12538
Computer Vision,1,Gastroenterology,2012,15927
Data Center,19,Astronomy,2012,2468
Robotics,16,Astronomy,2012,25006
Database,12,Astronomy,2012,10246
Data Mining,7,Astronomy,2012,10482
High Performance Computing,6,Astronomy,2012,3219
AI,5,Astronomy,2012,55028
Classification,4,Astronomy,2012,45939
Big Data,4,Astronomy,2012,2884
Machine Learning,3,Astronomy,2012,20752
UAM,3,Astronomy,2012,3412
Expert System,3,Astronomy,2012,1929
Genetic Algorithm,2,Astronomy,2012,3463
Bayesian Inference,2,Astronomy,2012,1482
Object Recognition,2,Astronomy,2012,17317
SVM,2,Astronomy,2012,12538
Supercomputers,2,Astronomy,2012,1188
Knowledge Representation,2,Astronomy,2012,1860
Grid Computing,1,Astronomy,2012,1069
Pattern Recognition,1,Astronomy,2012,18616
RDBMS & SQL,1,Astronomy,2012,302
Image Segmentation,1,Astronomy,2012,7167
Multiprocessing,1,Astronomy,2012,15
Regression,1,Astronomy,2012,14437
Supervised Learning,1,Astronomy,2012,4402
Computer Vision,1,Astronomy,2012,15927
Distributed Computing,1,Astronomy,2012,882
Clouds,1,Astronomy,2012,7028
Feature Extraction,1,Astronomy,2012,11670
Trees,1,Astronomy,2012,6598
Monte Carlo,1,Astronomy,2012,2255
Manipulator,1,Astronomy,2012,5008
Pattern Recognition,9,Nutrition,2012,18616
Classification,8,Nutrition,2012,45939
Dimensionality Reduction,5,Nutrition,2012,3900
SVM,3,Nutrition,2012,12538
Regression,2,Nutrition,2012,14437
Back-propagation,2,Nutrition,2012,2492
Computer Vision,2,Nutrition,2012,15927
Trees,1,Nutrition,2012,6598
Monte Carlo,1,Nutrition,2012,2255
Classification,2,Complementary Medicine,2012,45939
Database,1,Complementary Medicine,2012,10246
Clustering,1,Complementary Medicine,2012,9727
RDBMS & SQL,1,Complementary Medicine,2012,302
Data Mining,1,Complementary Medicine,2012,10482
BD & Cloud Solutions,1,Complementary Medicine,2012,1386
Regression,1,Complementary Medicine,2012,14437
Information Retrieval,1,Complementary Medicine,2012,4982
Regression,1,Obstetrics,2012,14437
Database,1,Mineral Processing,2012,10246
Regression,1,Mineral Processing,2012,14437
Back-propagation,1,Mineral Processing,2012,2492
Pattern Recognition,2,Metabolism,2012,18616
Regression,1,Metabolism,2012,14437
RDBMS & SQL,1,Metabolism,2012,302
Object Recognition,1,Metabolism,2012,17317
Classification,86,Radiology,2012,45939
Image Segmentation,85,Radiology,2012,7167
Robotics,70,Radiology,2012,25006
SVM,39,Radiology,2012,12538
AI,36,Radiology,2012,55028
Pattern Recognition,30,Radiology,2012,18616
Machine Learning,28,Radiology,2012,20752
Robots,25,Radiology,2012,34344
Database,24,Radiology,2012,10246
Feature Extraction,23,Radiology,2012,11670
Image Classification,19,Radiology,2012,5684
Object Recognition,19,Radiology,2012,17317
Regression,13,Radiology,2012,14437
Computer Vision,9,Radiology,2012,15927
Clustering,9,Radiology,2012,9727
Pose Estimation,9,Radiology,2012,3101
Dimensionality Reduction,7,Radiology,2012,3900
Data Mining,7,Radiology,2012,10482
Supervised Learning,6,Radiology,2012,4402
Quantum Computing,4,Radiology,2012,13125
NLP,4,Radiology,2012,1322
Trees,4,Radiology,2012,6598
Manipulator,3,Radiology,2012,5008
High Performance Computing,3,Radiology,2012,3219
Multi-layer perceptron,3,Radiology,2012,2177
Monte Carlo,3,Radiology,2012,2255
Expert System,3,Radiology,2012,1929
Back-propagation,3,Radiology,2012,2492
Reinforcement Learning,3,Radiology,2012,3329
Clouds,2,Radiology,2012,7028
Dynamic Programming,2,Radiology,2012,377
Statistical Learning,2,Radiology,2012,784
GPU,2,Radiology,2012,664
Boosting,2,Radiology,2012,285
Knowledge Representation,2,Radiology,2012,1860
Information Retrieval,2,Radiology,2012,4982
Supercomputers,1,Radiology,2012,1188
Image Recognition,1,Radiology,2012,346
Markov,1,Radiology,2012,1557
Feature Engineering,1,Radiology,2012,69
Transfer Learning,1,Radiology,2012,275
Big Data,1,Radiology,2012,2884
Distributed Computing,1,Radiology,2012,882
Voice Recognition,1,Radiology,2012,5950
Search Algorithm,1,Radiology,2012,1092
Bayesian Inference,1,Radiology,2012,1482
AI,207,Research,2012,55028
Classification,72,Research,2012,45939
Data Mining,56,Research,2012,10482
SVM,52,Research,2012,12538
Robots,46,Research,2012,34344
Expert System,43,Research,2012,1929
Machine Learning,35,Research,2012,20752
Robotics,32,Research,2012,25006
Database,28,Research,2012,10246
Genetic Algorithm,26,Research,2012,3463
Clustering,24,Research,2012,9727
Regression,22,Research,2012,14437
Pattern Recognition,21,Research,2012,18616
Multi-layer perceptron,21,Research,2012,2177
Feature Extraction,20,Research,2012,11670
Sentiment Analysis,10,Research,2012,867
Information Retrieval,10,Research,2012,4982
Back-propagation,9,Research,2012,2492
NLP,9,Research,2012,1322
Mobile Robots,9,Research,2012,3894
Dimensionality Reduction,8,Research,2012,3900
Knowledge Representation,8,Research,2012,1860
Clouds,8,Research,2012,7028
Supervised Learning,7,Research,2012,4402
Search Algorithm,7,Research,2012,1092
Image Segmentation,7,Research,2012,7167
Reinforcement Learning,7,Research,2012,3329
UGV,6,Research,2012,732
Trees,5,Research,2012,6598
Big Data,4,Research,2012,2884
RNN,4,Research,2012,1309
Data Center,4,Research,2012,2468
Unsupervised Learning,4,Research,2012,1790
Grid Computing,4,Research,2012,1069
Computer Vision,4,Research,2012,15927
Object Recognition,4,Research,2012,17317
Image Classification,3,Research,2012,5684
Text Classification,3,Research,2012,423
Semantic Search,3,Research,2012,247
Deep Learning,3,Research,2012,1893
Nearest Neighbors,3,Research,2012,702
Voice Recognition,2,Research,2012,5950
UAM,2,Research,2012,3412
Supercomputers,2,Research,2012,1188
Statistical Learning,2,Research,2012,784
BD & Cloud Solutions,2,Research,2012,1386
Humanoid Robots,2,Research,2012,2432
Manipulator,2,Research,2012,5008
RDBMS & SQL,2,Research,2012,302
Gesture Recognition,1,Research,2012,1016
Meta Learning,1,Research,2012,284
AUV,1,Research,2012,734
Optimization Algorithm,1,Research,2012,303
High Performance Computing,1,Research,2012,3219
Distributed File System,1,Research,2012,87
Language Modeling,1,Research,2012,593
Data Storage,1,Research,2012,736
Markov,1,Research,2012,1557
Face Detection,1,Research,2012,1267
Loss Function,1,Research,2012,109
SaaS,1,Research,2012,188
Monte Carlo,1,Research,2012,2255
Loss Functions,1,Research,2012,32
Dynamic Programming,1,Research,2012,377
Entity Recognition,1,Research,2012,127
Robots,3,Architecture,2012,34344
Robotics,2,Architecture,2012,25006
AI,1,Architecture,2012,55028
Data Mining,1,Architecture,2012,10482
3D Print,1,Architecture,2012,1397
Clouds,1,Architecture,2012,7028
Expert System,1,Architecture,2012,1929
Pose Estimation,1,Architecture,2012,3101
Big Data,1,Architecture,2012,2884
Data Mining,1,Law,2012,10482
Expert System,1,Law,2012,1929
Database,1,Mining,2012,10246
Regression,1,Mining,2012,14437
Back-propagation,1,Mining,2012,2492
AI,11,Energy,2012,55028
Database,9,Energy,2012,10246
Data Center,8,Energy,2012,2468
Regression,6,Energy,2012,14437
Multi-layer perceptron,6,Energy,2012,2177
Pattern Recognition,5,Energy,2012,18616
Classification,5,Energy,2012,45939
Data Mining,4,Energy,2012,10482
Clouds,4,Energy,2012,7028
Clustering,4,Energy,2012,9727
Robots,4,Energy,2012,34344
Genetic Algorithm,4,Energy,2012,3463
Monte Carlo,4,Energy,2012,2255
Machine Learning,4,Energy,2012,20752
Robotics,3,Energy,2012,25006
Mobile Robots,3,Energy,2012,3894
Expert System,3,Energy,2012,1929
High Performance Computing,3,Energy,2012,3219
Supercomputers,3,Energy,2012,1188
Manipulator,2,Energy,2012,5008
Back-propagation,2,Energy,2012,2492
Gesture Recognition,1,Energy,2012,1016
SVM,1,Energy,2012,12538
IaaS,1,Energy,2012,456
UAM,1,Energy,2012,3412
Data Storage,1,Energy,2012,736
Optimization Algorithm,1,Energy,2012,303
AI,201,Operations Research,2012,55028
Classification,70,Operations Research,2012,45939
Data Mining,52,Operations Research,2012,10482
SVM,52,Operations Research,2012,12538
Expert System,39,Operations Research,2012,1929
Robots,34,Operations Research,2012,34344
Machine Learning,32,Operations Research,2012,20752
Genetic Algorithm,26,Operations Research,2012,3463
Database,25,Operations Research,2012,10246
Clustering,23,Operations Research,2012,9727
Regression,22,Operations Research,2012,14437
Robotics,22,Operations Research,2012,25006
Multi-layer perceptron,21,Operations Research,2012,2177
Feature Extraction,20,Operations Research,2012,11670
Information Retrieval,10,Operations Research,2012,4982
Pattern Recognition,9,Operations Research,2012,18616
Back-propagation,9,Operations Research,2012,2492
Sentiment Analysis,8,Operations Research,2012,867
Mobile Robots,8,Operations Research,2012,3894
Dimensionality Reduction,8,Operations Research,2012,3900
Clouds,8,Operations Research,2012,7028
